city,line,phase,start_yr,end_yr,rr,length,tunnel_per,tunnel,elevated,at_grade,stations,platform_length,source1,cost,currency,yr,ppp_rate,real_cost,cost_km,cheap,clength,ctunnel,anglo,infl_ind,real_cost_23,real_cost_km_23,source2,ref,src_link,addl_src_link
Seattle,U-Link,U-Link,2009,2016,0,5.1,100,5.1,0,0,2,,Media,,USD,2012,1,1756,344.3,0,0,0,1,1.327133984,,457,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf,"",""
Los Angeles,Purple Line,Purple Phase 3,2020,2027,0,4.2,100,4.2,0,0,2,,Media,,USD,2023,1,3600,857.1,0,0,0,1,1,,857.1,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/,"",""
Los Angeles,Purple Line,Purple Phase 2,2018,2026,0,4.2,100,4.2,0,0,2,,Trade,,USD,2021,1,2400,571.4,0,0,0,1,1.124486105,,642.6,Trade,https://www.railjournal.com/in_depth/transit-projects-fly-in-the-city-of-angels,"",""
Los Angeles,Purple Line,Purple Phase 1,2014,2024,0,6.3,100,6.3,0,0,3,,Media,,USD,2018,1,2800,444.4,0,0,0,1,1.21343491,,539.3,Media,https://la.streetsblog.org/2018/04/25/metro-celebrates-purple-line-extension-1-tunnel-machines-set-to-start-in-august/,"",""
Los Angeles,Regional Connector,Regional Connector,2014,2022,0,3.1,100,3.1,0,0,3,,Plan,,USD,2018,1,1756,566.5,0,0,0,1,1.21343491,,687.4,Plan,https://www.metro.net/projects/connector/,"",""
San Francisco,Central Subway,Central Subway,2010,2021,0,2.7,100,2.7,0,0,4,,Media,,USD,2014,1,1670,618.5,0,0,0,1,1.287096175,,796.1,Media,https://www.sfchronicle.com/bayarea/article/Central-Subway-tab-likely-to-grow-by-55M-as-14447857.php,"",""
Boston,Green Line,Green Line Extension,2013,2022,0,7.6,0,0,0.78,6.82,7,,Plan,,USD,2020,1,2289,301.2,0,0,0,1,1.17731472,,354.6,Plan,https://www.ctps.org/data/pdf/plans/TIP/FFYs-2020-2024-Final-TIP-20190730.pdf,"",""
San Francisco,BART to San Jose,BART to San Jose,2024,2036,0,9.6,83,8,0,0,4,,Plan,,USD,2030,1,12200,1270.8,0,0,0,1,1,,,Media,https://www.mercurynews.com/2024/03/11/san-jose-bart-extension-price-tag-balloons-once-again-this-time-by-600-million/,"",""
New York,Line 7,7 extension,2007,2014,0,1.6,100,1.6,0,0,1,,Measured,,USD,2010,1,2400,1500,0,0,0,1,1.397356642,,,Plan,http://web.mta.info/nyct/service/new7LineExtension_to11Avenue.htm,"",""
New York,Second Avenue,Second Avenue Phase 1,2007,2016,0,2.7,100,2.7,0,0,3,187,Measured,,USD,2011,1,4601,1704.1,0,0,0,1,1.354598358,,,Media,http://web.mta.info/capitaldashboard/CPDMega.html,"",""
New York,Second Avenue,Second Avenue Phase 2,2019,2029,0,2.6,100,2.6,0,0,3,187,Measured,,USD,2024,1,6949,2672.7,0,0,0,1,1,,,Trade,https://www.transit.dot.gov/sites/fta.dot.gov/files/2023-03/NY-New-York-Second-Avenue-Subway-Phase-2-NSE-Profile-FY24.pdf,"",""
New York,East Side Access,East Side Access,2007,2022,1,2.8,100,2.8,0,0,1,,Measured,,USD,2015,1,11000,3928.6,0,0,0,1,1.285570233,,,Media,https://www.nytimes.com/2018/04/25/nyregion/mta-east-side-access-11-billion.html,"",""
New York,Gateway,Gateway,2019,2026,1,5.3,100,5.3,0,0,0,,Measured,,USD,2023,1,9500,1792.5,0,0,0,1,1,,,Plan,https://www.masstransitmag.com/rail/infrastructure/press-release/21094267/gateway-program-the-hudson-tunnel-projects-trims-14-billion-with-new-financial-plan,"",""
Honolulu,HART,HART,2011,2026,0,32,0,0,0,0,21,,Trade,,USD,2018,1,11371,355.3,0,0,0,1,1.21343491,,431.2,Media,https://www.hawaiibusiness.com/hart-history-hawaii-rail-project-when-finished-budget/,"",""
Los Angeles,Crenshaw/LAX Line,Crenshaw/LAX Line,2014,2022,0,13.7,34,4.7,0,0,9,,Wiki,,USD,2017,1,2058,150.2,0,0,0,1,1.243072781,,186.7,Media,https://spectrumnews1.com/ca/la-west/transportation/2022/01/25/-2-1-billion-crenshaw-lax-light-rail-project-near-completion,"",""
Miami,Metrorail extension to MIA,Metrorail extension to MIA,2009,2012,0,3.9,0,0,3.9,0,1,,Plan,506,USD,2010,1,506,129.7,0,0,0,1,1.397356642,707.1,181.3,Plan,https://www.miamidade.gov/transit/improvement-airportlink.asp,"",""
Seattle,West Seattle and Ballard,West Seattle and Ballard,2026,2036,0,19,32,6,0,0,13,,Plan,,USD,2020,1,12341,649.5,0,0,0,1,1.17731472,,764.7,Plan,https://publicola.com/wp-content/uploads/2021/01/Presentation-Updated-Project-Cost-Estimates-210107.pdf,"",""
Washington,Silver Line,Silver Line Phase 1,2009,2014,0,18.8,4,0.7,0,0,5,,Measured,,USD,2011,1,2982,158.6,0,0,0,1,1.354598358,,214.9,Plan,http://www.dullesmetro.com/about-dulles-rail/funding/,"",""
Washington,Silver Line,Silver Line Phase 2,2013,2022,0,18.3,0,0,0,0,6,,Plan,,USD,2017,1,3050,166.7,0,0,0,1,1.243072781,,207.2,Plan,https://dcist.com/story/22/07/19/silver-line-cost-additional-250-million/,"",""
